Питання,Варіант 1 (вірний),Варіант 2,Варіант 3,Варіант 4
Що таке криптовалюта?,Цифрова валюта,Фіатна валюта,Акція,Облігація
Що таке блокчейн?,Розподілений реєстр,Централізована база даних,Файл,Програма
Хто створив Bitcoin?,Сатоші Накамото,Елвін Рот,Віталік Бутерін,Чарлі Лі
Що таке майнінг?,Процес створення нових блоків,Процес видобутку корисних копалин,Процес торгівлі криптовалютами,Процес зберігання криптовалют
Що таке смарт-контракт?,Самовиконуваний контракт,Паперовий контракт,Усна угода,Електронний лист
Що таке Ethereum?,Платформа для смарт-контрактів,Криптовалюта,Банк,Біржа
Що таке Proof of Work?,Алгоритм консенсусу,Алгоритм шифрування,Алгоритм пошуку,Алгоритм сортування
Що таке Proof of Stake?,Алгоритм консенсусу,Алгоритм шифрування,Алгоритм пошуку,Алгоритм сортування
Що таке децентралізація?,Відсутність центрального контролю,Централізоване управління,Монополія,Олігополія
Що таке криптографія?,Наука про шифрування,Наука про криптовалюти,Наука про блокчейн,Наука про майнінг
Що таке хеш-функція?,Функція для шифрування даних,Функція для пошуку даних,Функція для сортування даних,Функція для зберігання даних
Що таке Bitcoin?,Перша криптовалюта,Фіатна валюта,Акція,Облігація
Що таке блок?,Елемент блокчейну,Елемент бази даних,Елемент файлу,Елемент програми
Що таке транзакція?,Операція з криптовалютою,Операція з фіатною валютою,Операція з акціями,Операція з облігаціями
Що таке гаманець?,Програмне забезпечення для зберігання криптовалют,Програмне забезпечення для торгівлі криптовалютами,Програмне забезпечення для майнінгу,Програмне забезпечення для шифрування
Що таке приватний ключ?,Секретний ключ для доступу до криптовалют,Публічний ключ для доступу до криптовалют,Ключ для шифрування даних,Ключ для пошуку даних
Що таке публічний ключ?,Ключ для перевірки підпису,Секретний ключ для доступу до криптовалют,Ключ для шифрування даних,Ключ для пошуку даних
Що таке цифровий підпис?,Підпис для перевірки автентичності,Підпис для шифрування даних,Підпис для пошуку даних,Підпис для сортування даних
Що таке блокчейн-мережа?,Мережа вузлів для перевірки транзакцій,Мережа комп'ютерів для майнінгу,Мережа користувачів для торгівлі,Мережа програм для шифрування
Що таке консенсус?,Узгодженість між учасниками мережі,Розбіжність між учасниками мережі,Конфлікт між учасниками мережі,Співпраця між учасниками мережі
Що таке вузол?,Комп'ютер у блокчейн-мережі,Користувач у блокчейн-мережі,Програма у блокчейн-мережі,Файл у блокчейн-мережі
Що таке майнер?,Учасник, який створює нові блоки,Учасник, який торгує криптовалютами,Учасник, який зберігає криптовалюти,Учасник, який шифрує дані
Що таке блокчейн-адреса?,Адреса для отримання криптовалют,Адреса для відправки криптовалют,Адреса для зберігання криптовалют,Адреса для шифрування даних
Що таке ICO?,Первинна пропозиція монет,Первинна пропозиція акцій,Первинна пропозиція облігацій,Первинна пропозиція фіатної валюти
Що таке токен?,Цифровий актив,Фіатна валюта,Акція,Облігація
Що таке децентралізована біржа?,Біржа без центрального контролю,Біржа з центральним контролем,Біржа для фіатних валют,Біржа для акцій
Що таке форк?,Розгалуження блокчейну,Злиття блокчейну,Видалення блокчейну,Оновлення блокчейну
Що таке хардфорк?,Розгалуження з несумісними змінами,Розгалуження з сумісними змінами,Злиття блокчейну,Видалення блокчейну
Що таке софтфорк?,Розгалуження з сумісними змінами,Розгалуження з несумісними змінами,Злиття блокчейну,Видалення блокчейну
Що таке Lightning Network?,Мережа для швидких транзакцій,Мережа для майнінгу,Мережа для шифрування,Мережа для зберігання даних
Що таке DeFi?,Децентралізовані фінанси,Централізовані фінанси,Фіатні фінанси,Криптографічні фінанси
Що таке stablecoin?,Стабільна криптовалюта,Волатильна криптовалюта,Фіатна валюта,Акція
Що таке NFT?,Невзаємозамінний токен,Фіатна валюта,Акція,Облігація
Що таке DAO?,Децентралізована автономна організація,Централізована автономна організація,Фіатна організація,Криптографічна організація
Що таке криптовалютна біржа?,Платформа для торгівлі криптовалютами,Платформа для зберігання криптовалют,Платформа для майнінгу,Платформа для шифрування
